score,sentence1,sentence2,score_binary,similarity
3.8,A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,1.0,0.0
3.75,The flag was moving in the air.,A flag is waving.,1.0,0.0
3.1,The baby laughed in his car seat.,A baby is laughing.,1.0,0.0
4.429,The bird is taking a bath under the faucet.,A bird is bathing in a sink.,1.0,0.0
5.0,A man plays the guitar and sings.,A man is singing and playing a guitar.,1.0,0.0
3.4,Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,1.0,0.0
3.8,A group of four people in a dinner having cake.,Four people eating dessert around a table.,1.0,0.0
3.2,A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.,1.0,0.0
3.6,A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.,1.0,0.0
4.2,A woman posing by a pillar with a U2 sign.,"a woman is standing by a pillar where ""u2"" is written.",1.0,0.0
3.4,One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.,1.0,0.0
3.0,A black train moves down the tracks.,A mostly black train on a track.,1.0,0.0
3.2,Several televisions are on the floor and stacked up on top of one another.,"Three televisions, on on the floor, the other two on a box.",1.0,0.0
3.2,A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,1.0,0.0
3.4,A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,1.0,0.0
3.2,The bird is sitting on the branch.,A red and brown bird is perched on branches.,1.0,0.0
3.2,Four children looking at barn animals.,Children looking a sheep.,1.0,0.0
3.8,A woman equestrian riding a horse.,The woman is riding on the brown horse.,1.0,0.0
3.8,Train going down the tracks.,A black steam train traveling on the railroad tracks.,1.0,0.0
3.6,Two cats are close together inside and black and white furry enclosure.,"Two baby kittens are sitting inside a cow-schemed, fur-covered dome.",1.0,0.0
3.6,A man jumping his dirt bike.,A man on a bike jumping through the air.,1.0,0.0
3.6,"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.,1.0,0.0
3.2,An AeroMexico jet taxing along a runway.,A silver AreoMexico Jet Liner sitting on the tarmac.,1.0,0.0
3.4,A woman and child push strollers down the sidewalk.,A women and a young girl walking pushchairs along the sidewalk.,1.0,0.0
3.0,A man with glasses and two plastic bottles in the foreground.,A man talking with two water bottles sitting in front of him.,1.0,0.0
4.0,An office with multiple desks and green walls.,Small office space with bright green walls.,1.0,0.0
4.0,A man on a motorcycle performing a wheelie.,Motorcyclist performing a wheelie next to a car.,1.0,0.0
3.4,A white bicycle stands on a floor.,Old style bicycle parked on floor.,1.0,0.0
4.0,Black bird sitting on a concrete slab.,Black bird standing on concrete.,1.0,0.0
3.8,A young blonde girl wearing a smile and a bicycle helmet.,A young girl wearing a bike helmet with a bicycle in the background.,1.0,0.0
3.0,"A young woman with outstretched arms stands in front of a ""Going Places"" bus.",TThe girl is standing in front of the open door of the bus.,1.0,0.0
4.6,Two gray dogs run together over the green grass.,Two grey dogs running in green grass.,1.0,0.0
3.2,German Shephard jumping through black hoop while people watch,A dog jumps through a hoop.,1.0,0.0
4.6,Two white dogs are walking through deep white snow.,Two white dogs walk through a huge bank of mountain snow.,1.0,0.0
3.2,A group of people stand in the sand looking out at the water.,A group of people are standing on the beach in front of some boats.,1.0,0.0
3.2,a skateboard performs a trick off a quarter pipe.,A skateboarder attempts to do a trick over a homemade ramp.,1.0,0.0
3.0,Two dogs are playing on the beach together.,Two black dogs are playing in a grass.,1.0,0.0
4.4,A seated young woman in a hat is reading at a coffee shop.,a woman enjoying her reading at a coffee shop,1.0,0.0
3.0,A brown and white dog with a pink Frisbee in it's mouth is humping over a man's back.,"a dog with a Frisbee in its mouth, jumps over a man.",1.0,0.0
3.4,Three dogs playing in the snow while one dog wears a jacket.,"Three dogs playing in the snow, with a city in the background.",1.0,0.0
3.8,A person wearing scuba gear is swimming underwater water.,A person is scuba diving in very clear blue water.,1.0,0.0
3.6,A black person in black and red is sleeping on a bench with an open black umbrella.,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.,1.0,0.0
